Day;Hour;Probability
Sunday;00;0.000749063670411985
Sunday;01;0.00299625468164794
Sunday;02;0
Sunday;03;0
Sunday;04;0
Sunday;05;0
Sunday;06;0
Sunday;07;0.00299625468164794
Sunday;08;0.00224719101123595
Sunday;09;0
Sunday;10;0.000749063670411985
Sunday;11;0
Sunday;12;0
Sunday;13;0.00374531835205993
Sunday;14;0
Sunday;15;0.000749063670411985
Sunday;16;0
Sunday;17;0
Sunday;18;0
Sunday;19;0.00224719101123595
Sunday;20;0.000749063670411985
Sunday;21;0.00149812734082397
Sunday;22;0.000749063670411985
Sunday;23;0.000749063670411985
Monday;00;0.000936329588014981
Monday;01;0
Monday;02;0
Monday;03;0
Monday;04;0
Monday;05;0
Monday;06;0.000936329588014981
Monday;07;0.0205992509363296
Monday;08;0.0355805243445693
Monday;09;0.0308988764044944
Monday;10;0.0112359550561798
Monday;11;0.0131086142322097
Monday;12;0.00936329588014981
Monday;13;0.0224719101123596
Monday;14;0.0571161048689139
Monday;15;0.146067415730337
Monday;16;0.0102996254681648
Monday;17;0.052434456928839
Monday;18;0.203183520599251
Monday;19;0.0449438202247191
Monday;20;0.000936329588014981
Monday;21;0.00561797752808989
Monday;22;0.0252808988764045
Monday;23;0.0468164794007491
Tuesday;00;0.00187265917602996
Tuesday;01;0
Tuesday;02;0
Tuesday;03;0.000936329588014981
Tuesday;04;0
Tuesday;05;0
Tuesday;06;0.00468164794007491
Tuesday;07;0.0177902621722846
Tuesday;08;0.0252808988764045
Tuesday;09;0.0159176029962547
Tuesday;10;0.0131086142322097
Tuesday;11;0.00468164794007491
Tuesday;12;0.00655430711610487
Tuesday;13;0.0280898876404494
Tuesday;14;0.051498127340824
Tuesday;15;0.105805243445693
Tuesday;16;0.0215355805243446
Tuesday;17;0.0674157303370787
Tuesday;18;0.191947565543071
Tuesday;19;0.0337078651685393
Tuesday;20;0.00655430711610487
Tuesday;21;0.00468164794007491
Tuesday;22;0.0187265917602996
Tuesday;23;0.051498127340824
Wednesday;00;0.00280898876404494
Wednesday;01;0.000936329588014981
Wednesday;02;0.000936329588014981
Wednesday;03;0
Wednesday;04;0
Wednesday;05;0
Wednesday;06;0.00280898876404494
Wednesday;07;0.0234082397003745
Wednesday;08;0.0234082397003745
Wednesday;09;0.0149812734082397
Wednesday;10;0.00468164794007491
Wednesday;11;0.0140449438202247
Wednesday;12;0.00936329588014981
Wednesday;13;0.0234082397003745
Wednesday;14;0.0880149812734082
Wednesday;15;0.102996254681648
Wednesday;16;0.0112359550561798
Wednesday;17;0.0589887640449438
Wednesday;18;0.211610486891386
Wednesday;19;0.050561797752809
Wednesday;20;0.00655430711610487
Wednesday;21;0.00374531835205993
Wednesday;22;0.0205992509363296
Wednesday;23;0.0458801498127341
Thursday;00;0.000936329588014981
Thursday;01;0.00187265917602996
Thursday;02;0.000936329588014981
Thursday;03;0
Thursday;04;0
Thursday;05;0
Thursday;06;0.00374531835205993
Thursday;07;0.0159176029962547
Thursday;08;0.0262172284644195
Thursday;09;0.0177902621722846
Thursday;10;0.00936329588014981
Thursday;11;0.00561797752808989
Thursday;12;0.00842696629213483
Thursday;13;0.0337078651685393
Thursday;14;0.0655430711610487
Thursday;15;0.158239700374532
Thursday;16;0.0290262172284644
Thursday;17;0.0692883895131086
Thursday;18;0.191947565543071
Thursday;19;0.0402621722846442
Thursday;20;0.00280898876404494
Thursday;21;0.00842696629213483
Thursday;22;0.0205992509363296
Thursday;23;0.047752808988764
Friday;00;0.000936329588014981
Friday;01;0.00187265917602996
Friday;02;0
Friday;03;0
Friday;04;0
Friday;05;0
Friday;06;0.00374531835205993
Friday;07;0.0196629213483146
Friday;08;0.0196629213483146
Friday;09;0.0131086142322097
Friday;10;0.00468164794007491
Friday;11;0.00936329588014981
Friday;12;0.0112359550561798
Friday;13;0.047752808988764
Friday;14;0.271535580524345
Friday;15;0.122659176029963
Friday;16;0.0121722846441948
Friday;17;0.00842696629213483
Friday;18;0.0168539325842697
Friday;19;0.00374531835205993
Friday;20;0.00374531835205993
Friday;21;0.00561797752808989
Friday;22;0.0252808988764045
Friday;23;0.0187265917602996
Saturday;00;0
Saturday;01;0
Saturday;02;0.000936329588014981
Saturday;03;0
Saturday;04;0
Saturday;05;0
Saturday;06;0
Saturday;07;0.00842696629213483
Saturday;08;0.00468164794007491
Saturday;09;0
Saturday;10;0.00280898876404494
Saturday;11;0.00468164794007491
Saturday;12;0.0102996254681648
Saturday;13;0.0121722846441948
Saturday;14;0.0702247191011236
Saturday;15;0.0299625468164794
Saturday;16;0.00187265917602996
Saturday;17;0.000936329588014981
Saturday;18;0
Saturday;19;0.000936329588014981
Saturday;20;0.000936329588014981
Saturday;21;0
Saturday;22;0
Saturday;23;0
