Day;Hour;Average inactivity (s)
Sunday;00;235,387333333333
Sunday;01;7953,16141176471
Sunday;02;181,914875
Sunday;03;237,379307692308
Sunday;04;190,537666666667
Sunday;05;109,940428571429
Sunday;06;399,601529411765
Sunday;07;119,70025
Sunday;08;7522,82584615385
Sunday;09;162,667625
Sunday;10;750,429666666667
Sunday;11;747,2935
Sunday;12;175,934153846154
Sunday;13;380,466125
Sunday;14;6456,59828571429
Sunday;15;1891,126
Sunday;16;140,296727272727
Sunday;17;636,0114
Sunday;18;925,935083333333
Sunday;19;3286,81071428571
Sunday;20;259,464714285714
Sunday;21;3208,24353333333
Sunday;22;1144,97042857143
Sunday;23;157,264846153846
Monday;00;176,721727272727
Monday;01;157,656333333333
Monday;02;659,131
Monday;03;361,259866666667
Monday;04;254,270294117647
Monday;05;354,909411764706
Monday;06;300,475
Monday;07;439,7513
Monday;08;229,114348314607
Monday;09;262,600198895028
Monday;10;442,262880319149
Monday;11;527,205750741839
Monday;12;275,580471590909
Monday;13;887,873620418848
Monday;14;1831,74350335571
Monday;15;1169,52533333333
Monday;16;493,709627906977
Monday;17;890,028366336634
Monday;18;2807,4684609375
Monday;19;6151,66221428572
Monday;20;12099,0887666667
Monday;21;8610,78056666667
Monday;22;10093,4335263158
Monday;23;5443,33316666667
Tuesday;00;556,372
Tuesday;01;934,525909090909
Tuesday;02;760,833588235294
Tuesday;03;219,142333333333
Tuesday;04;146,2857
Tuesday;05;1719,58475
Tuesday;06;4898,5785
Tuesday;07;1706,20966666667
Tuesday;08;337,146336601307
Tuesday;09;409,490994923857
Tuesday;10;428,452964824121
Tuesday;11;468,446542465753
Tuesday;12;287,497696476965
Tuesday;13;667,924051679587
Tuesday;14;2282,595672
Tuesday;15;744,3031875
Tuesday;16;308,400517027864
Tuesday;17;1857,22880392157
Tuesday;18;3766,01541258741
Tuesday;19;6555,51518518519
Tuesday;20;20204,4295263158
Tuesday;21;25057,8344666667
Tuesday;22;35180,2286666667
Tuesday;23;0
Wednesday;00;27484,14
Wednesday;01;0
Wednesday;02;0
Wednesday;03;0
Wednesday;04;950,8015
Wednesday;05;662,0514
Wednesday;06;239,479909090909
Wednesday;07;1310,01781481481
Wednesday;08;497,386072164948
Wednesday;09;410,222669590643
Wednesday;10;485,444112094395
Wednesday;11;591,904257617729
Wednesday;12;289,559766109785
Wednesday;13;570,397792592592
Wednesday;14;2166,24704529617
Wednesday;15;1019,93722270742
Wednesday;16;237,319016339869
Wednesday;17;854,663973607037
Wednesday;18;2395,1586125
Wednesday;19;12231,1642
Wednesday;20;17876,4705625
Wednesday;21;8596,01721052631
Wednesday;22;3187,88730769231
Wednesday;23;336,021111111111
Thursday;00;2889,15527272727
Thursday;01;508,3675
Thursday;02;1140,83
Thursday;03;785,7323
Thursday;04;386,332333333333
Thursday;05;490,159333333333
Thursday;06;505,839533333333
Thursday;07;1348,12024
Thursday;08;363,948264204545
Thursday;09;336,016491111111
Thursday;10;426,736050847458
Thursday;11;492,107042792793
Thursday;12;323,527028235294
Thursday;13;641,449227621484
Thursday;14;1974,71526643599
Thursday;15;603,321349282296
Thursday;16;291,339971786834
Thursday;17;762,030902313624
Thursday;18;9125,50046616541
Thursday;19;7958,1111
Thursday;20;25026,3460833333
Thursday;21;22386,1846666667
Thursday;22;27724,9725833333
Thursday;23;1391,2365
Friday;00;26619,858
Friday;01;0
Friday;02;0
Friday;03;7788,284
Friday;04;0
Friday;05;8226,896
Friday;06;0
Friday;07;1705,91433333333
Friday;08;379,867056547619
Friday;09;358,553917159763
Friday;10;354,479462311558
Friday;11;515,869362745098
Friday;12;1051,63489066667
Friday;13;2010,29586298077
Friday;14;13653,6736554307
Friday;15;26425,3799107143
Friday;16;16036,8946818182
Friday;17;812,456
Friday;18;23079,2992
Friday;19;103994,9554
Friday;20;86202,15475
Friday;21;17342,121
Friday;22;206671,213
Friday;23;203995,6
Saturday;00;0
Saturday;01;36804,75
Saturday;02;0
Saturday;03;2367,58766666667
Saturday;04;3545,7435
Saturday;05;3600,287
Saturday;06;2474,79675
Saturday;07;63436,88028
Saturday;08;58159,4129565217
Saturday;09;362,198230769231
Saturday;10;612,278181818182
Saturday;11;644,20375
Saturday;12;390,709625
Saturday;13;7440,51366666667
Saturday;14;407,464761904762
Saturday;15;674,93405
Saturday;16;1320,43125
Saturday;17;285,646642857143
Saturday;18;943,006095238095
Saturday;19;687,359466666667
Saturday;20;102,393928571429
Saturday;21;81,1676666666667
Saturday;22;567,63216
Saturday;23;318,061666666667
